Rank,Pass Att,Cmp%,Pass YDs,Pass TDs,Int,Sacks,Rush Att,Rush YDs,TDs,H/A_Away,H/A_Home,Opp_ARI,Opp_ATL,Opp_BUF,Opp_CAR,Opp_CHI,Opp_DAL,Opp_DEN,Opp_DET,Opp_GNB,Opp_HOU,Opp_IND,Opp_JAX,Opp_KAN,Opp_LAC,Opp_LAR,Opp_LVR,Opp_MIA,Opp_MIN,Opp_NOR,Opp_NWE,Opp_NYG,Opp_NYJ,Opp_PIT,Opp_SFO,Opp_TAM,Opp_TEN,Opp_WAS
52.0,23.0,78.26,193.0,1.0,1.0,4.0,12.0,35.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
53.0,37.0,62.16,277.0,1.0,2.0,1.0,10.0,28.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
54.0,37.0,67.57,319.0,2.0,0.0,3.0,9.0,34.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55.0,38.0,65.79,303.0,1.0,1.0,1.0,15.0,72.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56.0,45.0,62.22,280.0,1.0,3.0,2.0,8.0,47.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57.0,31.0,74.19,279.0,2.0,1.0,3.0,11.0,21.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
58.0,38.0,76.32,319.0,4.0,0.0,2.0,4.0,6.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59.0,23.0,73.91,207.0,2.0,0.0,3.0,10.0,36.0,1.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60.0,22.0,63.64,150.0,0.0,1.0,5.0,12.0,29.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61.0,31.0,58.06,200.0,3.0,1.0,2.0,14.0,65.0,2.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62.0,45.0,57.78,298.0,1.0,0.0,3.0,7.0,20.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
