,,,,,,,,,,,Passing,,,,,,,,,,,Rushing,,,,Receiving,,,,,,,Scoring,,,,Tackles,,,,,Fumbles,,,,,,Off. Snaps,,Def. Snaps,,ST Snaps,,
Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
28,2018,12/2/18,12,13,23.076,KAN,@,OAK,W 40-33,*,23,38,60.53,295,4,0,120,0,0,7.76,9.87,9,52,5.78,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,,,0,0,0,0,0,0,71,100%,0,0%,0,0%,
29,2018,12/9/18,13,14,23.083,KAN,,BAL,W 27-24,*,35,53,66.04,377,2,1,91.5,3,29,7.11,7.02,2,-3,-1.5,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,,,1,0,0,0,0,0,86,100%,0,0%,0,0%,
30,2018,12/13/18,14,15,23.087,KAN,,LAC,L 28-29,*,24,34,70.59,243,2,0,110.3,2,9,7.15,8.32,2,3,1.5,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,,,1,0,0,0,0,0,60,100%,0,0%,0,0%,
31,2018,12/23/18,15,16,23.097,KAN,@,SEA,L 31-38,*,23,40,57.5,273,3,0,103.4,1,8,6.83,8.33,3,33,11,0,0,0,0,,0,0.00%,,1,0,2,0,0,0,0,,,0,0,0,0,0,0,61,100%,0,0%,0,0%,
32,2018,12/30/18,16,17,23.104,KAN,,OAK,W 35-3,*,14,24,58.33,281,2,1,109.9,0,0,11.71,11.5,2,1,0.5,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,,,0,0,0,0,0,0,41,76%,0,0%,0,0%,
33,2019,9/8/19,1,1,23.356,KAN,@,JAX,W 40-26,*,25,33,75.76,378,3,0,143.2,0,0,11.45,13.27,1,2,2,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,87%,0,0%,0,0%,
34,2019,9/15/19,2,2,23.363,KAN,@,OAK,W 28-10,*,30,44,68.18,443,4,0,131.2,2,7,10.07,11.89,1,-1,-1,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,75,100%,0,0%,0,0%,
35,2019,9/22/19,3,3,24.005,KAN,,BAL,W 33-28,*,27,37,72.97,374,3,0,132,1,11,10.11,11.73,4,9,2.25,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,1,0,0,1,0,0,68,100%,0,0%,0,0%,
36,2019,9/29/19,4,4,24.012,KAN,@,DET,W 34-30,*,24,42,57.14,315,0,0,81,0,0,7.5,7.5,6,54,9,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,
37,2019,10/6/19,5,5,24.019,KAN,,IND,L 13-19,*,22,39,56.41,321,1,0,91.9,4,33,8.23,8.74,3,17,5.67,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,
38,2019,10/13/19,6,6,24.026,KAN,,HOU,L 24-31,*,19,35,54.29,273,3,1,96.5,1,17,7.8,8.23,1,-1,-1,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,1,1,0,0,0,0,55,100%,0,0%,0,0%,
39,2019,10/17/19,7,7,24.03,KAN,@,DEN,W 30-6,*,10,11,90.91,76,1,0,125.8,0,0,6.91,8.73,1,2,2,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,33%,0,0%,0,0%,
40,2019,10/27/19,,8,,KAN,,GNB,L 24-31,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2019,11/3/19,,9,,KAN,,MIN,W 26-23,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2019,11/10/19,10,10,24.054,KAN,@,TEN,L 32-35,*,36,50,72,446,3,0,119.2,2,13,8.92,10.12,0,0,,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,100%,0,0%,0,0%,
43,2019,11/18/19,11,11,24.062,KAN,@,LAC,W 24-17,*,19,32,59.38,182,1,1,72.7,1,2,5.69,4.91,5,59,11.8,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,
44,2019,12/1/19,12,13,24.075,KAN,,OAK,W 40-9,*,15,29,51.72,175,1,0,81.8,1,12,6.03,6.72,3,25,8.33,1,0,0,0,,0,0.00%,,,1,6,0,0,0,0,0,0,0,0,0,0,0,0,64,98%,0,0%,0,0%,
45,2019,12/8/19,13,14,24.082,KAN,@,NWE,W 23-16,*,26,40,65,283,1,1,83.6,1,12,7.08,6.45,6,6,1,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,100%,0,0%,0,0%,
46,2019,12/15/19,14,15,24.089,KAN,,DEN,W 23-3,*,27,34,79.41,340,2,1,115.7,3,13,10,9.85,3,11,3.67,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,
47,2019,12/22/19,15,16,24.096,KAN,@,CHI,W 26-3,*,23,33,69.7,251,2,0,112.1,1,7,7.61,8.82,2,14,7,1,0,0,0,,0,0.00%,,,1,6,0,0,0,0,0,0,0,0,0,0,0,0,65,94%,0,0%,0,0%,
48,2019,12/29/19,16,17,24.103,KAN,,LAC,W 31-21,*,16,25,64,174,1,1,81.1,0,0,6.96,5.96,7,21,3,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,94%,0,0%,0,0%,
49,2020,9/10/20,1,1,24.359,KAN,,HOU,W 34-20,*,24,32,75,211,3,0,123.3,1,8,6.59,8.47,0,0,,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,
50,2020,9/20/20,2,2,25.003,KAN,@,LAC,W 23-20,*,27,47,57.45,302,2,0,90.9,1,13,6.43,7.28,6,54,9,0,0,0,0,,0,0.00%,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,100%,0,0%,0,0%,
