Rank,Year,Date,Week,Team,H/A,Opp,Result,Status,Pass Att,Cmp%,Pass YDs,Pass TDs,Int,Sacks,Rush Att,Rush YDs,TDs,Snaps,Class
38.0,2016.0,2016-10-16,6.0,OAK,Home,KAN,L 10-26,Start,34.0,64.71,225.0,1.0,1.0,2.0,3.0,8.0,0.0,55.0,0
39.0,2016.0,2016-10-23,7.0,OAK,Away,JAX,W 33-16,Start,37.0,62.16,200.0,1.0,0.0,0.0,4.0,4.0,0.0,72.0,1
40.0,2016.0,2016-10-30,8.0,OAK,Away,TAM,W 30-24,Start,59.0,67.8,513.0,4.0,0.0,2.0,1.0,13.0,0.0,94.0,1
41.0,2016.0,2016-11-06,9.0,OAK,Home,DEN,W 30-20,Start,31.0,64.52,184.0,0.0,0.0,2.0,4.0,3.0,0.0,88.0,1
42.0,2016.0,2016-11-21,11.0,OAK,Home,HOU,W 27-20,Start,31.0,67.74,295.0,3.0,1.0,0.0,2.0,-2.0,0.0,53.0,1
43.0,2016.0,2016-11-27,12.0,OAK,Home,CAR,W 35-32,Start,38.0,68.42,315.0,2.0,1.0,1.0,5.0,-12.0,0.0,70.0,1
44.0,2016.0,2016-12-04,13.0,OAK,Home,BUF,W 38-24,Start,35.0,54.29,260.0,2.0,0.0,0.0,2.0,4.0,0.0,71.0,1
45.0,2016.0,2016-12-08,14.0,OAK,Away,KAN,L 13-21,Start,41.0,41.46,117.0,0.0,0.0,1.0,2.0,3.0,0.0,75.0,0
46.0,2016.0,2016-12-18,15.0,OAK,Away,SDG,W 19-16,Start,30.0,63.33,213.0,1.0,1.0,2.0,5.0,5.0,0.0,62.0,1
47.0,2016.0,2016-12-24,16.0,OAK,Home,IND,W 33-25,Start,31.0,67.74,232.0,3.0,0.0,1.0,1.0,8.0,0.0,63.0,1
49.0,2017.0,2017-09-10,1.0,OAK,Away,TEN,W 26-16,Start,32.0,68.75,262.0,2.0,0.0,2.0,2.0,2.0,0.0,66.0,1
50.0,2017.0,2017-09-17,2.0,OAK,Home,NYJ,W 45-20,Start,28.0,82.14,230.0,3.0,0.0,0.0,0.0,0.0,0.0,57.0,1
51.0,2017.0,2017-09-24,3.0,OAK,Away,WAS,L 10-27,Start,31.0,61.29,118.0,1.0,2.0,4.0,2.0,5.0,0.0,51.0,0
52.0,2017.0,2017-10-01,4.0,OAK,Away,DEN,L 10-16,Start,18.0,55.56,143.0,1.0,0.0,2.0,0.0,0.0,0.0,34.0,0
54.0,2017.0,2017-10-15,6.0,OAK,Home,LAC,L 16-17,Start,30.0,70.0,171.0,1.0,2.0,1.0,1.0,0.0,0.0,58.0,0
55.0,2017.0,2017-10-19,7.0,OAK,Home,KAN,W 31-30,Start,52.0,55.77,417.0,3.0,0.0,0.0,1.0,15.0,0.0,82.0,1
56.0,2017.0,2017-10-29,8.0,OAK,Away,BUF,L 14-34,Start,49.0,63.27,313.0,1.0,2.0,0.0,0.0,0.0,0.0,65.0,0
57.0,2017.0,2017-11-05,9.0,OAK,Away,MIA,W 27-24,Start,30.0,70.0,300.0,1.0,1.0,1.0,4.0,-3.0,0.0,64.0,1
