,,,,,,,,,,,Passing,,,,,,,,,,,Rushing,,,,Receiving,,,,,,,Scoring,,Fumbles,,,,,,Off. Snaps,,Def. Snaps,,ST Snaps,,
Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
24,2015,11/8/15,8,9,24.225,OAK,@,PIT,L 35-38,*,24,44,54.55,301,4,1,96.9,0,0,6.84,7.64,2,3,1.5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,
25,2015,11/15/15,9,10,24.232,OAK,,MIN,L 14-30,*,29,43,67.44,302,2,2,83.7,2,15,7.02,5.86,2,12,6,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,
26,2015,11/22/15,10,11,24.239,OAK,@,DET,L 13-18,*,13,25,52,169,0,0,73.6,1,5,6.76,6.76,1,8,8,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,0,0,51,100%,0,0%,0,0%,
27,2015,11/29/15,11,12,24.246,OAK,@,TEN,W 24-21,*,24,37,64.86,330,3,0,120.3,1,7,8.92,10.54,4,5,1.25,0,0,0,0,,0,0.00%,,0,0,2,1,0,1,-4,0,70,99%,0,0%,0,0%,
28,2015,12/6/15,12,13,24.253,OAK,,KAN,L 20-34,*,31,48,64.58,283,2,3,68.3,4,21,5.9,3.92,0,0,,0,0,0,0,,0,0.00%,,0,0,1,0,0,1,0,0,79,100%,0,0%,0,0%,
29,2015,12/13/15,13,14,24.26,OAK,@,DEN,W 15-12,*,12,29,41.38,135,2,0,79,3,36,4.66,6.03,4,-4,-1,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,0,0,57,100%,0,0%,0,0%,
30,2015,12/20/15,14,15,24.267,OAK,,GNB,L 20-30,*,23,47,48.94,276,2,2,63.8,3,24,5.87,4.81,4,42,10.5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,77,100%,0,0%,0,0%,
31,2015,12/24/15,15,16,24.271,OAK,,SDG,W 23-20,*,23,38,60.53,204,1,1,72.7,3,29,5.37,4.71,4,30,7.5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,
32,2015,1/3/16,16,17,24.281,OAK,@,KAN,L 17-23,*,21,33,63.64,194,1,1,77.1,6,37,5.88,5.12,2,12,6,0,0,0,0,,0,0.00%,,0,0,2,0,0,0,0,0,57,100%,0,0%,0,0%,
33,2016,9/11/16,1,1,25.167,OAK,@,NOR,W 35-34,*,24,38,63.16,319,1,0,98.5,0,0,8.39,8.92,2,16,8,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,73,100%,0,0%,0,0%,
