,,,,,,,,,,,Passing,,,,,,,,,,,Rushing,,,,Receiving,,,,,,,Scoring,,Fumbles,,,,,,Off. Snaps,,Def. Snaps,,ST Snaps,,
Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,TD,Pts,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
103,2020,11/1/20,7,8,29.218,LVR,@,CLE,W 16-6,*,15,24,62.5,111,1,0,87.3,2,11,4.63,5.46,6,41,6.83,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,0,0,72,100%,0,0%,0,0%,
104,2020,11/8/20,8,9,29.225,LVR,@,LAC,W 31-26,*,13,23,56.52,165,2,0,108.1,1,5,7.17,8.91,2,14,7,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,51,100%,0,0%,0,0%,
105,2020,11/15/20,9,10,29.232,LVR,,DEN,W 37-12,*,16,25,64,154,0,0,81.1,0,0,6.16,6.16,4,10,2.5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,72,100%,0,0%,0,0%,
106,2020,11/22/20,10,11,29.239,LVR,,KAN,L 31-35,*,23,31,74.19,275,3,1,119.7,0,0,8.87,9.35,3,6,2,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,59,100%,0,0%,0,0%,
107,2020,11/29/20,11,12,29.246,LVR,@,ATL,L 6-43,*,22,34,64.71,215,0,1,70.1,3,21,6.32,5,0,0,,0,0,0,0,,0,0.00%,,0,0,3,3,0,0,0,0,52,83%,0,0%,0,0%,
108,2020,12/6/20,12,13,29.253,LVR,@,NYJ,W 31-28,*,28,47,59.57,381,3,1,97.9,2,13,8.11,8.43,2,5,2.5,1,0,0,0,,0,0.00%,,1,6,0,0,0,0,0,0,78,100%,0,0%,0,0%,
109,2020,12/13/20,13,14,29.26,LVR,,IND,L 27-44,*,31,45,68.89,316,2,2,85,0,0,7.02,5.91,3,12,4,1,0,0,0,,0,0.00%,,1,6,0,0,0,0,0,0,68,100%,0,0%,0,0%,
110,2020,12/17/20,14,15,29.264,LVR,,LAC,L 27-30,*,3,5,60,53,0,0,96.2,1,3,10.6,10.6,0,0,,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,11,14%,0,0%,0,0%,
111,2020,12/26/20,15,16,29.273,LVR,,MIA,L 25-26,*,21,34,61.76,336,1,0,104.5,3,22,9.88,10.47,2,-2,-1,1,0,0,0,,0,0.00%,,1,6,0,0,0,0,0,0,64,100%,0,0%,0,0%,
112,2020,1/3/21,16,17,29.281,LVR,@,DEN,W 32-31,*,24,38,63.16,371,2,2,91,3,12,9.76,8.45,2,1,0.5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,69,100%,0,0%,0,0%,
113,2021,9/13/21,1,1,30.169,LVR,,BAL,W 33-27,*,34,56,60.71,435,2,1,89.5,3,26,7.77,7.68,4,6,1.5,0,0,0,0,,0,0.00%,,0,0,1,0,0,1,-10,0,86,100%,0,0%,0,0%,
114,2021,9/19/21,2,2,30.175,LVR,@,PIT,W 26-17,*,28,37,75.68,382,2,0,126.2,2,9,10.32,11.41,4,9,2.25,0,0,0,0,,0,0.00%,,0,0,2,0,0,1,-3,0,66,100%,0,0%,0,0%,
115,2021,9/26/21,3,3,30.182,LVR,,MIA,W 31-28,*,26,43,60.47,386,2,1,95.7,3,29,8.98,8.86,2,-2,-1,0,0,0,0,,0,0.00%,,0,0,0,0,0,1,0,0,83,100%,0,0%,0,0%,
116,2021,10/4/21,4,4,30.19,LVR,@,LAC,L 14-28,*,21,34,61.76,196,2,1,84.9,4,31,5.76,5.62,3,6,2,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,0,0,57,100%,0,0%,0,0%,
117,2021,10/10/21,5,5,30.196,LVR,,CHI,L 9-20,*,22,35,62.86,206,0,1,67.1,3,18,5.89,4.6,3,10,3.33,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,63,94%,0,0%,0,0%,
118,2021,10/17/21,6,6,30.203,LVR,@,DEN,W 34-24,*,18,27,66.67,341,2,0,134.4,2,1,12.63,14.11,2,-1,-0.5,0,0,0,0,,0,0.00%,,0,0,1,0,0,1,-2,0,56,100%,0,0%,0,0%,
119,2021,10/24/21,7,7,30.21,LVR,,PHI,W 33-22,*,31,34,91.18,323,2,1,113.6,0,0,9.5,9.35,2,1,0.5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,
120,2021,11/7/21,8,9,30.224,LVR,@,NYG,L 16-23,*,30,46,65.22,296,1,2,72.4,1,10,6.43,4.91,2,5,2.5,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,68,99%,0,0%,0,0%,
121,2021,11/14/21,9,10,30.231,LVR,,KAN,L 14-41,*,25,35,71.43,261,2,1,99.8,2,12,7.46,7.31,3,18,6,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,54,100%,0,0%,0,0%,
122,2021,11/21/21,10,11,30.238,LVR,,CIN,L 13-32,*,19,27,70.37,215,1,1,90.8,2,9,7.96,7.04,0,0,,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,47,100%,0,0%,0,0%,
123,2021,11/25/21,11,12,30.242,LVR,@,DAL,W 36-33,*,24,39,61.54,373,1,0,101.8,3,7,9.56,10.08,2,21,10.5,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,0,0,86,99%,0,0%,0,0%,
124,2021,12/5/21,12,13,30.252,LVR,,WAS,L 15-17,*,28,38,73.68,249,0,0,90.8,2,15,6.55,6.55,2,24,12,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,59,100%,0,0%,0,0%,
125,2021,12/12/21,13,14,30.259,LVR,@,KAN,L 9-48,*,33,45,73.33,263,1,1,85.7,4,17,5.84,5.29,0,0,,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,63,100%,0,0%,0,0%,
126,2021,12/20/21,14,15,30.267,LVR,@,CLE,W 16-14,*,25,38,65.79,236,1,1,80.6,2,6,6.21,5.55,3,7,2.33,0,0,0,0,,0,0.00%,,0,0,2,1,0,1,0,0,68,99%,0,0%,0,0%,
127,2021,12/26/21,15,16,30.273,LVR,,DEN,W 17-13,*,20,25,80,201,1,1,96.8,2,19,8.04,7.04,7,5,0.71,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,69,100%,0,0%,0,0%,
128,2021,1/2/22,16,17,30.28,LVR,@,IND,W 23-20,*,24,31,77.42,255,1,2,84.7,2,14,8.23,5.97,0,0,,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,61,98%,0,0%,0,0%,
129,2021,1/9/22,17,18,30.287,LVR,,LAC,W 35-32,*,20,36,55.56,186,2,0,88.4,3,18,5.17,6.28,1,-1,-1,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,0,0,75,94%,0,0%,0,0%,
130,2022,9/11/22,1,1,31.167,LVR,@,LAC,L 19-24,*,22,37,59.46,295,2,3,69.1,5,29,7.97,5.41,0,0,,0,0,0,0,,0,0.00%,,0,0,2,0,0,0,0,0,58,100%,0,0%,0,0%,
131,2022,9/18/22,2,2,31.174,LVR,,ARI,L 23-29,*,25,39,64.1,252,2,0,99.5,1,8,6.46,7.49,1,9,9,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,
132,2022,9/25/22,3,3,31.181,LVR,@,TEN,L 22-24,*,26,44,59.09,303,2,1,85.7,1,7,6.89,6.77,2,17,8.5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,
133,2022,10/2/22,4,4,31.188,LVR,,DEN,W 32-23,*,21,34,61.76,188,0,0,76.6,2,15,5.53,5.53,7,40,5.71,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,75,100%,0,0%,0,0%,
134,2022,10/10/22,5,5,31.196,LVR,@,KAN,L 29-30,*,19,30,63.33,241,2,0,110.6,2,18,8.03,9.37,1,3,3,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,64,100%,0,0%,0,0%,
135,2022,10/23/22,6,7,31.209,LVR,,HOU,W 38-20,*,21,27,77.78,241,1,0,116.2,1,5,8.93,9.67,3,-1,-0.33,0,0,0,0,,0,0.00%,,0,0,1,0,0,1,0,0,55,98%,0,0%,0,0%,
136,2022,10/30/22,7,8,31.216,LVR,@,NOR,L 0-24,*,15,26,57.69,101,0,1,50.3,3,20,3.88,2.15,1,-1,-1,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,44,76%,0,0%,0,0%,
137,2022,11/6/22,8,9,31.223,LVR,@,JAX,L 20-27,*,21,36,58.33,259,2,0,99.2,2,11,7.19,8.31,0,0,,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,59,100%,0,0%,0,0%,
138,2022,11/13/22,9,10,31.23,LVR,,IND,L 20-25,*,24,38,63.16,248,2,0,99.5,2,16,6.53,7.58,0,0,,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,
139,2022,11/20/22,10,11,31.237,LVR,@,DEN,W 22-16,*,23,37,62.16,307,2,0,106.5,1,9,8.3,9.38,0,0,,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,66,100%,0,0%,0,0%,
140,2022,11/27/22,11,12,31.244,LVR,@,SEA,W 40-34,*,25,36,69.44,295,3,2,98.7,1,2,8.19,7.36,2,10,5,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,76,99%,0,0%,0,0%,
141,2022,12/4/22,12,13,31.251,LVR,,LAC,W 27-20,*,16,30,53.33,250,2,1,89.6,0,0,8.33,8.17,0,0,,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,61,100%,0,0%,0,0%,
142,2022,12/8/22,13,14,31.255,LVR,@,LAR,L 16-17,*,11,20,55,137,0,2,36.9,0,0,6.85,2.35,4,11,2.75,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,60,100%,0,0%,0,0%,
143,2022,12/18/22,14,15,31.265,LVR,,NWE,W 30-24,*,20,38,52.63,231,3,1,86.6,3,20,6.08,6.47,0,0,,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,0,0,68,100%,0,0%,0,0%,
144,2022,12/24/22,15,16,31.271,LVR,@,PIT,L 10-13,*,16,30,53.33,174,1,3,42.2,3,31,5.8,1.97,3,14,4.67,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,53,100%,0,0%,0,0%,
145,2022,1/1/23,16,17,,LVR,,SFO,L 34-37,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,2022,1/7/23,17,18,,LVR,,KAN,L 13-31,Inactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,2023,9/10/23,1,1,32.166,NOR,,TEN,W 16-15,*,23,33,69.7,305,1,1,96.1,4,23,9.24,8.48,3,4,1.33,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,62,95%,0,0%,0,0%,
148,2023,9/18/23,2,2,32.174,NOR,@,CAR,W 20-17,*,21,36,58.33,228,0,1,65.5,4,29,6.33,5.08,3,-4,-1.33,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,69,90%,0,0%,0,0%,
149,2023,9/24/23,3,3,32.18,NOR,@,GNB,L 17-18,*,13,18,72.22,103,1,0,104.6,3,21,5.72,6.83,0,0,,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,33,54%,0,0%,0,0%,
150,2023,10/1/23,4,4,32.187,NOR,,TAM,L 9-26,*,23,37,62.16,127,0,0,68.2,2,10,3.43,3.43,2,1,0.5,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,56,86%,0,0%,0,0%,
151,2023,10/8/23,5,5,32.194,NOR,@,NWE,W 34-0,*,18,26,69.23,183,2,0,114.7,2,15,7.04,8.58,2,4,2,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,58,81%,0,0%,0,0%,
152,2023,10/15/23,6,6,32.201,NOR,@,HOU,L 13-20,*,32,50,64,353,1,1,83.2,2,16,7.06,6.56,1,2,2,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,79,96%,0,0%,0,0%,
153,2023,10/19/23,7,7,32.205,NOR,,JAX,L 24-31,*,33,55,60,301,1,1,73.4,1,6,5.47,5.02,3,14,4.67,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,0,0,86,96%,0,0%,0,0%,
154,2023,10/29/23,8,8,32.215,NOR,@,IND,W 38-27,*,19,27,70.37,310,2,0,133.3,1,4,11.48,12.96,1,-1,-1,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,55,83%,0,0%,0,0%,
155,2023,11/5/23,9,9,32.222,NOR,,CHI,W 24-17,*,25,34,73.53,211,2,0,108.8,0,0,6.21,7.38,3,3,1,0,0,0,0,,0,0.00%,,0,0,0,0,0,0,0,0,52,83%,0,0%,0,0%,
156,2023,11/12/23,10,10,32.229,NOR,@,MIN,L 19-27,*,13,18,72.22,110,0,0,87.7,2,12,6.11,6.11,1,10,10,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,0,0,33,49%,0,0%,0,0%,
157,2023,11/26/23,11,12,32.243,NOR,@,ATL,L 15-24,*,24,38,63.16,304,0,1,77.1,1,8,8,6.82,2,7,3.5,0,0,0,0,,0,0.00%,,0,0,1,0,0,0,0,0,63,88%,0,0%,0,0%,
158,2023,12/3/23,12,13,32.25,NOR,,DET,L 28-33,*,17,22,77.27,226,1,1,105.5,2,18,10.27,9.14,2,-1,-0.5,0,0,0,0,,0,0.00%,,0,0,1,1,0,0,0,0,42,63%,0,0%,0,0%,
,,154 Games,,,,,,,68-86-0,,3462,5352,64.69,37983,228,105,91.6,288,1786,7.1,7.07,301,884,2.94,6,2,1,-9,-9,0,50.00%,-4.5,6,36,86,39,0,20,-102,0,,,,,,,
